input_set,population,bits,generations,mutation_rate,seed,threads,sequential_median_seconds,parallel_one_thread_median_seconds,parallel_median_seconds,scaling_speedup,scaling_efficiency,baseline_speedup,sequential_samples,parallel_samples
pequeno,1000,1000,100,0.001,42,1,0.411563000,0.402325000,0.402325000,1.000000,1.000000,1.022962,10,10
pequeno,1000,1000,100,0.001,42,2,0.411563000,0.402325000,0.211602000,1.901329,0.950664,1.944986,10,10
pequeno,1000,1000,100,0.001,42,4,0.411563000,0.402325000,0.204699000,1.965447,0.491362,2.010577,10,10
pequeno,1000,1000,100,0.001,42,8,0.411563000,0.402325000,0.156071500,2.577825,0.322228,2.637016,10,10
medio,2000,2000,100,0.0005,42,1,1.641126000,1.633117500,1.633117500,1.000000,1.000000,1.004904,10,10
medio,2000,2000,100,0.0005,42,2,1.641126000,1.633117500,0.830814000,1.965684,0.982842,1.975323,10,10
medio,2000,2000,100,0.0005,42,4,1.641126000,1.633117500,0.731076000,2.233855,0.558464,2.244809,10,10
medio,2000,2000,100,0.0005,42,8,1.641126000,1.633117500,0.461730000,3.536953,0.442119,3.554298,10,10
grande,4000,2000,100,0.0005,42,1,3.263738000,3.240877500,3.240877500,1.000000,1.000000,1.007054,10,10
grande,4000,2000,100,0.0005,42,2,3.263738000,3.240877500,1.698456000,1.908132,0.954066,1.921591,10,10
grande,4000,2000,100,0.0005,42,4,3.263738000,3.240877500,1.512536000,2.142678,0.535669,2.157792,10,10
grande,4000,2000,100,0.0005,42,8,3.263738000,3.240877500,0.923539500,3.509192,0.438649,3.533945,10,10
