input_set,population,bits,generations,mutation_rate,seed,threads,sequential_median_seconds,parallel_one_thread_median_seconds,parallel_median_seconds,scaling_speedup,scaling_efficiency,baseline_speedup,sequential_samples,parallel_samples
pequeno,1000,1000,100,0.001,42,1,0.462991000,0.447454500,0.447454500,1.000000,1.000000,1.034722,10,10
pequeno,1000,1000,100,0.001,42,2,0.462991000,0.447454500,0.228953500,1.954347,0.977173,2.022205,10,10
pequeno,1000,1000,100,0.001,42,4,0.462991000,0.447454500,0.129263500,3.461569,0.865392,3.581761,10,10
pequeno,1000,1000,100,0.001,42,8,0.462991000,0.447454500,0.069300000,6.456775,0.807097,6.680967,10,10
pequeno,1000,1000,100,0.001,42,16,0.462991000,0.447454500,0.039795500,11.243847,0.702740,11.634255,10,10
pequeno,1000,1000,100,0.001,42,20,0.462991000,0.447454500,0.033489500,13.361039,0.668052,13.824960,10,10
medio,2000,2000,100,0.0005,42,1,1.792537000,1.773528500,1.773528500,1.000000,1.000000,1.010718,10,10
medio,2000,2000,100,0.0005,42,2,1.792537000,1.773528500,0.905177500,1.959316,0.979658,1.980315,10,10
medio,2000,2000,100,0.0005,42,4,1.792537000,1.773528500,0.507984500,3.491304,0.872826,3.528724,10,10
medio,2000,2000,100,0.0005,42,8,1.792537000,1.773528500,0.272583500,6.506368,0.813296,6.576102,10,10
medio,2000,2000,100,0.0005,42,16,1.792537000,1.773528500,0.148932000,11.908311,0.744269,12.035943,10,10
medio,2000,2000,100,0.0005,42,20,1.792537000,1.773528500,0.123577500,14.351549,0.717577,14.505367,10,10
grande,4000,2000,100,0.0005,42,1,3.568084000,3.547283500,3.547283500,1.000000,1.000000,1.005864,10,10
grande,4000,2000,100,0.0005,42,2,3.568084000,3.547283500,1.802328000,1.968168,0.984084,1.979708,10,10
grande,4000,2000,100,0.0005,42,4,3.568084000,3.547283500,1.013960500,3.498443,0.874611,3.518958,10,10
grande,4000,2000,100,0.0005,42,8,3.568084000,3.547283500,0.542153500,6.542950,0.817869,6.581317,10,10
grande,4000,2000,100,0.0005,42,16,3.568084000,3.547283500,0.292798000,12.115122,0.757195,12.186162,10,10
grande,4000,2000,100,0.0005,42,20,3.568084000,3.547283500,0.242368500,14.635910,0.731795,14.721732,10,10
